Channel,Rank,Bank,Row,AvgOpenDuration,OpenCount,AvgReopenInterval,TotalRefreshes,AvgRefreshesBetweenReopens
0,0,0,2031,4780,4,4832.5,12,3
0,0,0,8196,11,2,46,12,6
0,0,0,8198,580.5,2,615.5,12,6
0,0,0,8274,692,3,11198.7,12,4
0,0,0,8276,3239.25,4,6294,12,3
0,0,0,8277,319.4,5,13480.2,12,2.4
0,0,0,8278,2603,4,4705.5,12,3
0,0,0,8802,14677.5,2,14713,12,6
0,0,0,8805,25759.8,5,31303,12,2.4
0,0,0,8855,16043,2,16078,12,6
0,0,0,8859,8903.71,7,8954,12,1.71429
0,0,0,8860,22500.5,4,22593,12,3
0,0,0,8879,12741.8,5,13316,12,2.4
0,0,0,8907,342.25,4,643,12,3
0,0,0,8953,1093.46,13,11571.1,12,0.923077
0,0,0,9491,47290.7,3,47337.3,12,4
0,0,0,9686,114.25,4,579.25,12,3
0,0,0,13863,36,2,71,12,6
0,0,0,20560,3400.7,23,5458,12,0.521739
0,0,0,29998,590,3,636.667,12,4
0,0,0,64103,2565.6,10,2716.7,12,1.2
0,0,0,64104,4743.2,5,5138.2,12,2.4
0,0,0,64105,3246.83,6,3350.33,12,2
0,0,0,64106,875.25,8,2030.75,12,1.5
0,0,0,64110,200.667,3,247.333,12,4
0,0,0,64114,113,4,1914.5,12,3
0,0,0,64119,1125.5,2,1160.5,12,6
0,0,0,64123,2841.5,2,2876.5,12,6
0,0,0,64142,6601.33,3,6648,12,4
0,0,1,1779,3497.57,7,3557.57,12,1.71429
0,0,1,2050,4219,4,4271.5,12,3
0,0,1,8197,781,3,4759.33,12,4
0,0,1,8274,5533,5,12488.6,12,2.4
0,0,1,8276,1600.5,8,18493.2,12,1.5
0,0,1,8847,244.909,11,7387.18,12,1.09091
0,0,1,8853,101.2,5,17909.6,12,2.4
0,0,1,8857,50698,3,52566.3,12,4
0,0,1,8859,17933,5,29864.2,12,2.4
0,0,1,9455,4519.5,4,4778.25,12,3
0,0,1,9554,498.286,7,745.143,12,1.71429
0,0,1,9685,2,2,37,12,6
0,0,1,9686,911.333,3,958,12,4
0,0,1,19915,69800,2,69835.5,12,6
0,0,1,20560,1078.4,5,2167,12,2.4
0,0,1,64104,1150.2,15,1543.93,12,0.8
0,0,1,64105,1543.17,6,3806.33,12,2
0,0,1,64123,5327,5,6420.8,12,2.4
0,0,1,64142,414,2,449,12,6
0,1,0,2031,7272.5,2,7307.5,12,6
0,1,0,8274,12243.3,6,12655.2,12,2
0,1,0,8276,6013.5,2,6048.5,12,6
0,1,0,8277,13140.3,3,13187,12,4
0,1,0,8322,3618.67,6,3677.33,12,2
0,1,0,8787,3735,2,3770,12,6
0,1,0,8847,11240.5,11,12507.5,12,1.09091
0,1,0,8853,60.5,4,7259.25,12,3
0,1,0,8858,17886.6,5,24826.2,12,2.4
0,1,0,8880,60,2,95,12,6
0,1,0,8882,463.333,3,510,12,4
0,1,0,8883,16542.5,2,16577.5,12,6
0,1,0,8889,22435.3,3,22482,12,4
0,1,0,8907,367,2,402,12,6
0,1,0,8953,1028.4,10,14628.2,12,1.2
0,1,0,9130,23756.3,6,23812.8,12,2
0,1,0,9451,185.5,2,220.5,12,6
0,1,0,11239,1223,4,35791.2,12,3
0,1,0,13863,16310,2,16345,12,6
0,1,0,19916,16771.8,4,17332.5,12,3
0,1,0,20560,1584.03,30,4800.23,12,0.4
0,1,0,29949,118.5,2,153.5,12,6
0,1,0,29970,201,2,236,12,6
0,1,0,64103,3089,8,3157.75,12,1.5
0,1,0,64104,991,5,290.8,12,2.4
0,1,0,64105,2006.5,8,2912.88,12,1.5
0,1,0,64106,2380.33,6,3010.67,12,2
0,1,0,64108,2817,3,6333.33,12,4
0,1,0,64110,260.5,4,313,12,3
0,1,0,64123,4484.5,6,4542.83,12,2
0,1,0,64145,2801,2,2836,12,6
0,1,1,1779,3775.6,5,4100.6,12,2.4
0,1,1,2030,3062.25,4,4987.75,12,3
0,1,1,2050,1830.2,5,3451.2,12,2.4
0,1,1,8269,407,2,442,12,6
0,1,1,8274,10028.2,10,16525.4,12,1.2
0,1,1,8805,22320.2,4,37443.2,12,3
0,1,1,8842,1791.5,2,1830,12,6
0,1,1,8847,1917.36,14,6493.57,12,0.857143
0,1,1,8857,29661.7,3,29708.3,12,4
0,1,1,8859,2808.5,2,2843.5,12,6
0,1,1,8952,1115.5,2,1150.5,12,6
0,1,1,9554,1054.58,12,2947.58,12,1
0,1,1,14099,1774.25,4,1826.75,12,3
0,1,1,64104,1240.6,15,1657.93,12,0.8
0,1,1,64105,1087.85,13,1702.38,12,0.923077
0,1,1,64106,5372,2,5407,12,6
0,1,1,64122,9672,2,9707,12,6
0,1,1,64123,2005,3,2051.67,12,4
0,1,1,64141,980.5,2,1015.5,12,6
