Channel,Rank,Bank,Row,AvgOpenDuration,OpenCount,AvgReopenInterval,TotalRefreshes,AvgRefreshesBetweenReopens
0,0,0,4098,17.5,2,52.5,13,6.5
0,0,0,4099,657,2,692,13,6.5
0,0,0,4138,4129,4,6359.25,13,3.25
0,0,0,4139,3150.5,4,4746,13,3.25
0,0,0,4401,16876.5,2,16911.5,13,6.5
0,0,0,4430,286.25,4,27104,13,3.25
0,0,0,4843,212.75,4,354.25,13,3.25
0,0,0,10280,3450.65,23,6290.43,13,0.565217
0,0,0,14999,494.667,3,541.333,13,4.33333
0,0,0,64820,3719.67,3,8469.67,13,4.33333
0,0,0,64821,1208,8,1667.25,13,1.625
0,0,0,64823,90,3,192.333,13,4.33333
0,0,0,64825,113,4,2410.5,13,3.25
0,0,0,64839,6547.67,3,6594.33,13,4.33333
0,0,1,4138,747.25,8,21385.5,13,1.625
0,0,1,4777,466.714,7,712.571,13,1.85714
0,0,1,10280,1240.29,7,2171.43,13,1.85714
0,0,1,64820,919.417,12,1888.75,13,1.08333
0,0,1,64839,303.5,2,338.5,13,6.5
0,0,1,66561,3484.5,4,3537,13,3.25
0,0,2,4138,259.2,5,15006.6,13,2.6
0,0,2,4402,30025.4,5,36479.8,13,2.6
0,0,2,4429,11327.7,6,11403.7,13,2.16667
0,0,2,4439,7705.2,5,14840,13,2.6
0,0,2,4453,513.667,3,560.333,13,4.33333
0,0,2,4476,1217.54,13,13629.3,13,1
0,0,2,4745,114,3,55594,13,4.33333
0,0,2,64819,1533.2,10,2671.7,13,1.3
0,0,2,64820,3259.17,6,3324.83,13,2.16667
0,0,2,64829,2402,2,2440.5,13,6.5
0,0,2,66551,2590,4,4866,13,3.25
0,0,3,4098,738.333,3,5136,13,4.33333
0,0,3,4423,947.8,10,9648.1,13,1.3
0,0,3,4426,88.6,5,21534,13,2.6
0,0,3,4429,21548,5,34692,13,2.6
0,0,3,4727,3103,4,4818.5,13,3.25
0,0,3,4842,18.5,2,53.5,13,6.5
0,0,3,64820,912.167,6,3764.83,13,2.16667
0,0,3,64829,3928.2,5,6773.6,13,2.6
0,0,3,66425,1316.33,6,4071.5,13,2.16667
0,1,0,4137,1595.5,6,13806,13,2.16667
0,1,0,4138,6760,2,6795,13,6.5
0,1,0,4161,2626.2,5,4348.2,13,2.6
0,1,0,4429,21522.8,5,28540.4,13,2.6
0,1,0,4440,35,2,70,13,6.5
0,1,0,4441,574,2,609,13,6.5
0,1,0,4565,443.167,6,27906.2,13,2.16667
0,1,0,9958,18005.5,4,19221.2,13,3.25
0,1,0,10280,2642.64,28,6000.25,13,0.464286
0,1,0,64820,49.75,4,1745.75,13,3.25
0,1,0,64821,2332.4,5,2996.4,13,2.6
0,1,0,64822,6522.33,3,6569,13,4.33333
0,1,0,64823,78.6667,3,125.333,13,4.33333
0,1,1,4137,1653.12,8,23778.8,13,1.625
0,1,1,4421,1350,2,1388.5,13,6.5
0,1,1,4476,618,2,653,13,6.5
0,1,1,4777,1513.1,10,4177.1,13,1.3
0,1,1,64820,776.938,16,1551.44,13,0.8125
0,1,1,64821,4579,2,4614,13,6.5
0,1,1,64829,10045,2,10080,13,6.5
0,1,1,64839,3131.5,2,3166.5,13,6.5
0,1,1,66551,2593.75,4,4987.25,13,3.25
0,1,1,66561,2676.4,5,4266,13,2.6
0,1,2,4138,13432.7,3,13479.3,13,4.33333
0,1,2,4423,14292.7,9,18067,13,1.44444
0,1,2,4426,8136.25,4,8380.5,13,3.25
0,1,2,4444,25048,3,25094.7,13,4.33333
0,1,2,4453,346.5,2,381.5,13,6.5
0,1,2,4476,1287.5,10,17058.3,13,1.3
0,1,2,4725,185.5,2,220.5,13,6.5
0,1,2,5619,664.6,5,33560.2,13,2.6
0,1,2,6931,16910.5,2,16946,13,6.5
0,1,2,14974,135.5,2,170.5,13,6.5
0,1,2,64819,725.857,7,3572,13,1.85714
0,1,2,64820,1698.86,7,3267.43,13,1.85714
0,1,2,64829,3035.4,5,4841,13,2.6
0,1,2,64840,2395.5,2,2430.5,13,6.5
0,1,2,66551,6251,2,6286,13,6.5
0,1,3,4134,380.5,2,415.5,13,6.5
0,1,3,4402,26851.2,4,43445,13,3.25
0,1,3,4423,892.923,13,8275.85,13,1
0,1,3,4428,35700,3,35746.7,13,4.33333
0,1,3,4429,2497.5,2,2532.5,13,6.5
0,1,3,64820,1019.9,10,2183.8,13,1.3
0,1,3,64829,2104.67,3,2910,13,4.33333
0,1,3,64838,914,2,949,13,6.5
0,1,3,66425,934.2,5,4049.6,13,2.6
