Channel,Rank,Bank,Row,AvgOpenDuration,OpenCount,AvgReopenInterval,TotalRefreshes,AvgRefreshesBetweenReopens
0,0,0,4098,649975,15,2.38665e+06,2571,171.4
0,0,0,4099,1.17459e+06,22,1.80962e+06,2571,116.864
0,0,0,4130,1.75297e+06,2,1.75301e+06,2571,1285.5
0,0,0,4136,3.50627e+06,4,4.49604e+06,2571,642.75
0,0,0,4137,275575,39,903542,2571,65.9231
0,0,0,4138,61332,73,293666,2571,35.2192
0,0,0,4139,343590,28,649858,2571,91.8214
0,0,0,4140,179161,21,805245,2571,122.429
0,0,0,4142,420967,7,2.31271e+06,2571,367.286
0,0,0,4146,2.72864e+06,2,2.72877e+06,2571,1285.5
0,0,0,4147,800749,15,906715,2571,171.4
0,0,0,4161,539303,55,705952,2571,46.7455
0,0,0,4180,591653,14,1.46813e+06,2571,183.643
0,0,0,4367,378.636,11,716664,2571,233.727
0,0,0,4400,831311,17,2.13496e+06,2571,151.235
0,0,0,4401,698058,27,1.28791e+06,2571,95.2222
0,0,0,4402,131229,65,493582,2571,39.5538
0,0,0,4403,156541,25,1.35618e+06,2571,102.84
0,0,0,4407,1.5556e+06,7,5.03514e+06,2571,367.286
0,0,0,4411,3336.2,5,1.15136e+06,2571,514.2
0,0,0,4421,55643.2,86,399372,2571,29.8953
0,0,0,4422,225.5,2,260.5,2571,1285.5
0,0,0,4424,26622.2,405,55146.6,2571,6.34815
0,0,0,4425,25654.3,467,45898.8,2571,5.50535
0,0,0,4427,1.00032e+06,13,2.11895e+06,2571,197.769
0,0,0,4428,242102,41,592193,2571,62.7073
0,0,0,4429,140165,111,354794,2571,23.1622
0,0,0,4430,46071,96,375137,2571,26.7812
0,0,0,4432,91.4706,17,832599,2571,151.235
0,0,0,4433,125300,18,842886,2571,142.833
0,0,0,4435,949803,3,950469,2571,857
0,0,0,4440,52260.1,89,443669,2571,28.8876
0,0,0,4441,120385,99,385783,2571,25.9697
0,0,0,4442,79333.6,22,1.6957e+06,2571,116.864
0,0,0,4443,523454,8,2.99329e+06,2571,321.375
0,0,0,4452,767294,7,1.49123e+06,2571,367.286
0,0,0,4453,441823,8,1.10153e+06,2571,321.375
0,0,0,4457,34469.7,15,1.51463e+06,2571,171.4
0,0,0,4459,184783,61,568589,2571,42.1475
0,0,0,4460,15616.2,133,183565,2571,19.3308
0,0,0,4461,6.34378e+06,2,6.34382e+06,2571,1285.5
0,0,0,4470,1.36935e+06,5,1.36941e+06,2571,514.2
0,0,0,4474,228712,29,1.02487e+06,2571,88.6552
0,0,0,4475,1.93146e+06,5,3.38726e+06,2571,514.2
0,0,0,4476,204875,29,746123,2571,88.6552
0,0,0,4477,1.1911e+06,7,3.83566e+06,2571,367.286
0,0,0,4479,83704,8,2.00709e+06,2571,321.375
0,0,0,4481,616596,5,1.73693e+06,2571,514.2
0,0,0,4482,404516,37,972072,2571,69.4865
0,0,0,4484,204189,5,2.10922e+06,2571,514.2
0,0,0,4486,7855.83,6,1.2361e+06,2571,428.5
0,0,0,4494,18380.3,258,49268.2,2571,9.96512
0,0,0,4495,1956.27,142,34921.6,2571,18.1056
0,0,0,4509,696287,17,1.10115e+06,2571,151.235
0,0,0,4528,834510,6,2.42567e+06,2571,428.5
0,0,0,4557,827,3,6245.67,2571,857
0,0,0,4562,1.04234e+06,7,1.08966e+06,2571,367.286
0,0,0,4563,219490,8,1.79568e+06,2571,321.375
0,0,0,4565,3.69545e+06,4,3.98511e+06,2571,642.75
0,0,0,4571,406994,10,1.47316e+06,2571,257.1
0,0,0,4576,381001,16,1.50211e+06,2571,160.688
0,0,0,4578,5945.67,3,12819,2571,857
0,0,0,4584,457421,24,760195,2571,107.125
0,0,0,4595,945629,13,1.29244e+06,2571,197.769
0,0,0,4600,1.01171e+06,9,1.72812e+06,2571,285.667
0,0,0,4602,768606,5,1.34452e+06,2571,514.2
0,0,0,4603,7.17983e+06,2,7.17987e+06,2571,1285.5
0,0,0,4609,255591,47,379389,2571,54.7021
0,0,0,4620,942654,7,2.42243e+06,2571,367.286
0,0,0,4621,1.15454e+06,14,2.12278e+06,2571,183.643
0,0,0,4630,877585,29,1.012e+06,2571,88.6552
0,0,0,4631,2.25061e+06,4,4.41942e+06,2571,642.75
0,0,0,4636,1.64833e+06,5,4.77668e+06,2571,514.2
0,0,0,4637,1.94328e+06,7,2.00396e+06,2571,367.286
0,0,0,4638,1.99742e+06,4,6.28407e+06,2571,642.75
0,0,0,4640,105843,147,240233,2571,17.4898
0,0,0,4641,146251,45,793510,2571,57.1333
0,0,0,4658,471775,36,943323,2571,71.4167
0,0,0,4659,771051,13,1.15329e+06,2571,197.769
0,0,0,4676,520673,14,537746,2571,183.643
0,0,0,4678,143,5,83632.4,2571,514.2
0,0,0,4679,382970,18,1.37235e+06,2571,142.833
0,0,0,4680,250326,36,282037,2571,71.4167
0,0,0,4681,830905,12,1.40182e+06,2571,214.25
0,0,0,4684,1.478e+06,7,2.73071e+06,2571,367.286
0,0,0,4692,664750,33,920107,2571,77.9091
0,0,0,4693,853711,17,1.17934e+06,2571,151.235
0,0,0,4696,171.2,15,736410,2571,171.4
0,0,0,4697,812741,7,2.29666e+06,2571,367.286
0,0,0,4698,4.73945e+06,2,4.73949e+06,2571,1285.5
0,0,0,4699,787979,20,1.55494e+06,2571,128.55
0,0,0,4705,1.3854e+06,4,1.38546e+06,2571,642.75
0,0,0,4707,4.10982e+06,4,6.18601e+06,2571,642.75
0,0,0,4722,399.75,4,3351.5,2571,642.75
0,0,0,4725,1.32079e+06,5,5.22959e+06,2571,514.2
0,0,0,4730,1.77527e+06,2,1.77531e+06,2571,1285.5
0,0,0,4734,226680,16,757241,2571,160.688
0,0,0,4735,230794,30,516126,2571,85.7
0,0,0,4744,319582,8,2.95204e+06,2571,321.375
0,0,0,4746,161.667,3,221,2571,857
0,0,0,4793,2.48356e+06,3,2.48361e+06,2571,857
0,0,0,4794,425037,16,513220,2571,160.688
0,0,0,4795,1.48864e+06,14,2.68051e+06,2571,183.643
0,0,0,4838,6124.73,11,7063.82,2571,233.727
0,0,0,4839,920083,15,949857,2571,171.4
0,0,0,4840,4.10424e+06,2,4.10428e+06,2571,1285.5
0,0,0,4841,1.66402e+06,2,1.66405e+06,2571,1285.5
0,0,0,4843,175.167,6,218104,2571,428.5
0,0,0,4849,1.30173e+06,2,1.3034e+06,2571,1285.5
0,0,0,4853,5087.5,14,53670.1,2571,183.643
0,0,0,4856,1.72735e+06,6,2.84965e+06,2571,428.5
0,0,0,4857,169338,40,847224,2571,64.275
0,0,0,4863,770086,11,998499,2571,233.727
0,0,0,4864,3.09311e+06,4,6.97334e+06,2571,642.75
0,0,0,4878,1561.55,11,689002,2571,233.727
0,0,0,4879,2.86075e+06,7,3.53351e+06,2571,367.286
0,0,0,4880,5591.44,9,1.18471e+06,2571,285.667
0,0,0,4881,546515,11,1.69868e+06,2571,233.727
0,0,0,5060,51226.9,400,95332.1,2571,6.4275
0,0,0,5061,1.58169e+06,7,1.62602e+06,2571,367.286
0,0,0,5076,268342,30,479545,2571,85.7
0,0,0,5086,1.72115e+06,4,1.72623e+06,2571,642.75
0,0,0,5087,153038,5,579145,2571,514.2
0,0,0,5088,4738.24,37,154760,2571,69.4865
0,0,0,5089,38255.4,16,45535.1,2571,160.688
